	Description	mean_Catrapid	rank_Catrapid	domain_score	Secretion_nonfused	Secretion_fused	Orignial_rank	final_score	final_rank
CP003496.1_prot_D7S_00002_1	hypothetical protein	0.023853410963746845	1239.0	0.03909390147748984	False	False	1027.0	0.4199034966798887	1326.0
CP003496.1_prot_D7S_00003_2	molybdenum cofactor biosynthesis protein A	0.01101956992654996	1287.0	0.02896565198103812	False	False	884.0	0.3857872411864354	1400.0
CP003496.1_prot_D7S_00004_3	molybdenum cofactor biosynthesis protein C	0.3760823906222719	369.0	0.05004408629907371	False	False	1720.0	0.8656362901971247	520.0
CP003496.1_prot_D7S_00005_4	molybdopterin converting factor, subunit 1	0.4377758519682524	251.0	0.07992595939980766	False	False	1796.0	0.9544886780404873	388.0
CP003496.1_prot_D7S_00006_5	molybdopterin converting factor, subunit 2	0.32746320960968317	464.0	0.16359701187491751	False	False	1675.0	0.931712953903903	424.0
CP003496.1_prot_D7S_00007_6	Gst protein	0.005416635028125739	1310.0	-0.05431143387265454	False	False	906.0	0.2910159024591796	1598.0
CP003496.1_prot_D7S_00008_7	stringent starvation protein B	0.1579984327684813	912.0	0.11211496240489621	False	False	208.0	0.6563428484618676	889.0
CP003496.1_prot_D7S_00009_8	asparaginyl-tRNA synthetase	-0.31292039544561345	1834.0	0.20810816395293524	False	False	9.0	0.29156643481750294	1596.0
CP003496.1_prot_D7S_00011_10	NagC-like transcriptional regulator Mlc	0.07146941746823487	1137.0	0.11539479518840244	False	False	1132.0	0.5471789031344294	1083.0
CP003496.1_prot_D7S_00012_11	dethiobiotin synthase	-0.2692201272736166	1780.0	0.19869280062099567	False	False	522.0	0.30913757823219007	1566.0
CP003496.1_prot_D7S_00013_12	L-ribulokinase	0.6655854814333486	28.0	0.21481302242536762	False	False	93.0	1.2008200189271168	58.0
CP003496.1_prot_D7S_00014_13	DeoR family transcriptional regulator	0.2595575454008644	638.0	0.11510044258867552	False	False	243.0	0.7962598628785307	627.0
CP003496.1_prot_D7S_00015_14	ribose import ATP-binding protein RbsA	-0.02421458779401533	1378.0	0.09417395783392699	False	False	838.0	0.4055182856700089	1358.0
CP003496.1_prot_D7S_00016_15	inner membrane ABC transporter permease protein YdeY	0.5250455037447496	134.0	0.01077008496490653	False	False	1907.0	0.9438035682232773	403.0
CP003496.1_prot_D7S_00017_16	ABC transporter, permease, sugar transport	0.3195136364286622	487.0	-0.022337106639192958	False	False	1623.0	0.7342845825162293	752.0
CP003496.1_prot_D7S_00018_17	rhamnose ABC transporter, rhamnose-binding protein	-0.004528353396111557	1333.0	0.41814910306927144	True	True	923.0	0.7519821865275422	723.0
