	Description	mean_Catrapid	rank_Catrapid	domain_score	Secretion_nonfused	Secretion_fused	Orignial_rank	final_score	final_rank
CP003496.1_prot_D7S_00002_1	hypothetical protein	0.02119599436923677	1218.0	0.04888599596259509	False	False	1027.0	0.44019034378868205	1310.0
CP003496.1_prot_D7S_00003_2	molybdenum cofactor biosynthesis protein A	-0.03344826682596692	1380.0	0.09533590041804318	False	False	884.0	0.4056807280042501	1381.0
CP003496.1_prot_D7S_00004_3	molybdenum cofactor biosynthesis protein C	0.3714554963034796	374.0	-0.0047171918439700405	False	False	1720.0	0.8083762614293933	617.0
CP003496.1_prot_D7S_00005_4	molybdopterin converting factor, subunit 1	0.4235122695746657	279.0	0.03388658151101963	False	False	1796.0	0.8944562966534484	464.0
CP003496.1_prot_D7S_00006_5	molybdopterin converting factor, subunit 2	0.34007332958039305	438.0	0.09942398173634351	False	False	1675.0	0.8805334270137049	490.0
CP003496.1_prot_D7S_00007_6	Gst protein	-0.026896168946143828	1363.0	-0.03363866316059666	False	False	906.0	0.28520191654954824	1616.0
CP003496.1_prot_D7S_00008_7	stringent starvation protein B	0.1378540246756653	938.0	0.11329800734228541	False	False	208.0	0.6445323901508812	931.0
CP003496.1_prot_D7S_00009_8	asparaginyl-tRNA synthetase	-0.3012308622444721	1825.0	0.2352661523525953	False	False	9.0	0.3232221743416008	1543.0
CP003496.1_prot_D7S_00011_10	NagC-like transcriptional regulator Mlc	0.07299167765473817	1106.0	0.12051461840865937	False	False	1132.0	0.5677909802277499	1075.0
CP003496.1_prot_D7S_00012_11	dethiobiotin synthase	-0.2988187844704732	1822.0	0.07813727781008684	False	False	522.0	0.16759255017390493	1819.0
CP003496.1_prot_D7S_00013_12	L-ribulokinase	0.7124625563726821	21.0	0.186299987948426	False	False	93.0	1.175805235324738	88.0
CP003496.1_prot_D7S_00014_13	DeoR family transcriptional regulator	0.23093348541574077	699.0	0.1525711187774238	False	False	243.0	0.8032457814460895	626.0
CP003496.1_prot_D7S_00015_14	ribose import ATP-binding protein RbsA	-0.05884046761625686	1441.0	-0.022555263795787886	False	False	838.0	0.2573048061692296	1665.0
CP003496.1_prot_D7S_00016_15	inner membrane ABC transporter permease protein YdeY	0.5373147115080918	122.0	-0.02225854602572952	False	False	1907.0	0.9167719387318917	423.0
CP003496.1_prot_D7S_00017_16	ABC transporter, permease, sugar transport	0.30876858863129075	493.0	-0.021767197318347864	False	False	1623.0	0.7318559910874493	763.0
CP003496.1_prot_D7S_00018_17	rhamnose ABC transporter, rhamnose-binding protein	-0.00969393925137805	1318.0	0.4228116382865007	True	True	923.0	0.7641409736188345	705.0
